system_id,dateien_im_ordner,kanon_kern_kurz,habe_vs_bedarf,nächste_aktion
hd,72,Ra + HD-Schulen,vorhanden,"P0-Extraktion: Complete Rave I'Ching, Life Force, Black Book; Cosmology IV–VII fehlen."
genekeys,14,Rudd Golden Path,vorhanden,14 Werke — Golden Path vollständig prüfen.
i_ching,9,Wilhelm/Shaughnessy/Huang + Brücken,vorhanden,9 Werke inkl. Parkyn Book of Lines.
kabbalah_jewish,11,Kaplan/Scholem/Idel,vorhanden,Zohar Matt Vol 1+2 + Kaplan Meditation and Kabbalah.
kabbalah_hermetic,5,Fortune/Regardie/Crowley,vorhanden,5 Werke — Liber 777 Dublette behalten oder eine wählen.
chakra,12,Serpent Power + Wheels of Life,vorhanden,12 Werke inkl. Eastern Body Western Mind.
pancha_bhuta,5,Samkhya/Caraka/Sushruta/Ayurveda,vorhanden,5 Werke — Übersetzungslinie verifizieren.
wu_xing,4,Neijing + Maciocia/Kaptchuk,vorhanden,4 Werke.
western_elements,3,Antike Elementlehre,vorhanden,"2 Werke (Aristoteles, Empedocles)."
jyotish,4,Parashara / Brihat,vorhanden,4 Werke.
bazi,31,Joey Yap + klassisch,vorhanden,31 Werke inkl. 滴天髓.
astro,7,Lilly/Hand/Ptolemy/Rudhyar,vorhanden,6 Werke.
ziwei,13,王亭之 / Schulanker,vorhanden,13 Werke — 中州派-Kern komplett.
mayan_tzolkin,3,GMT/Kin,teilweise,Mayan Factor + Earth Ascending; optional Dreamspell-Kit.
nine_star_ki,2,Kushi/Sachs,vorhanden,2 Kernwerke (Kushi 1991 + Sachs Complete Guide).
numerology,4,Grundwerke,vorhanden,Decoz + Goodwin Vol 1+2 + Jordan.
akan,3,Gyekye/Rattray,vorhanden,3 Werke (Gyekye + Ashanti 1923 + Folk-tales).
enneagram,7,Riso/Naranjo/Palmer,vorhanden,Riso Personality Types + Wisdom; Naranjo Character + Structures.
